type_shoes,price,address,image_link
Chaussures enfants,8 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1333501_uploaded_image1_1576219185.59.png
Chaussures pour fillettes,8 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1333498_uploaded_image1_1576219122.94.png
Chaussures enfant,8 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1333491_uploaded_image1_1576218959.82.png
Baskets pour enfant,9 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1331081_uploaded_image1_1576160907.38.png
Chaussures enfants,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1322345_uploaded_image1_1576000193.8.png
Chaussures enfant,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1316847_uploaded_image1_1575910203.55.png
Baskets,15 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1315396_uploaded_image1_1575892319.78.png
Baskets Nike,15 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1315371_uploaded_image1_1575891941.88.png
Chaussures enfants,10 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1301373_uploaded_image1_1575593826.19.png
Baskets pour enfants,10 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1301372_uploaded_image1_1575593800.55.png
Chaussures enfants,10 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1301371_uploaded_image1_1575593770.54.png
Chaussures enfant,10 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1301370_uploaded_image1_1575593731.21.png
Chaussures enfant,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1276880_uploaded_image1_1575146620.8.png
Chaussures enfant,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1276876_uploaded_image1_1575146535.95.png
Chaussures enfant,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1276870_uploaded_image1_1575146426.06.png
Chaussures Kito pour fille,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1276859_uploaded_image1_1575146156.05.png
Chaussures bébé,8 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271344_uploaded_image1_1575046361.55.png
Chaussures bébé,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271327_uploaded_image1_1575046215.4.png
Chaussures bébé,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271316_uploaded_image1_1575046124.65.png
Chaussures bébé,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271303_uploaded_image1_1575046003.77.png
Chaussures bébé,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271263_uploaded_image1_1575045414.46.png
Chaussures enfant treillis,17 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271245_uploaded_image1_1575045125.86.png
Chaussures lumineuses enfant,17 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271196_uploaded_image1_1575044645.1.png
Chaussures pour enfant,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1258548_uploaded_image1_1574842266.27.png
Chaussures,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1253942_uploaded_image1_1574754418.1.png
Chaussures,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1253938_uploaded_image1_1574754371.18.png
Chaussures,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1253934_uploaded_image1_1574754332.53.png
Chaussures,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1253916_uploaded_image1_1574754216.28.png
