type_clothes,price,address,image_link
Pantalon,1 500CFA,"Dabou, Côte d'Ivoire",https://images.coinafrique.com/thumb_1612818_uploaded_image1_1581104334.63.png
Complet fille,6 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1606450_uploaded_image1_1581010682.35.png
Complet filles,6 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1606431_uploaded_image1_1581010381.49.png
Vêtements bébé,6 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1606292_uploaded_image1_1581008938.98.png
Habits de friperie / enfants,360 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1599388_uploaded_image1_1580914709.31.png
Complet,6 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1590339_uploaded_image1_1580802355.54.png
Robe,1 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1540383_uploaded_image1_1579990875.02.png
Habit enfant,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1486307_uploaded_image1_1579116536.77.png
Pullover,5 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1486247_uploaded_image1_1579115938.92.png
Pantalon,9 000CFA,"Grand-Bassam, Côte d'Ivoire",https://images.coinafrique.com/thumb_1486223_uploaded_image1_1579115707.07.png
Robe fleurie,6 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1465704_uploaded_image1_1578770909.38.png
Barrette bébé,1 500CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1464424_uploaded_image1_1578751692.32.png
T-shirts et jeans,Prix sur demande,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1438235_uploaded_image1_1578352174.17.png
Vêtements enfants,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2966721_uploaded_image2_1614082239.jpeg
Vêtements enfants,8 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2965982_uploaded_image1_1614037162.jpg
Vêtements bébé,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2920139_uploaded_image1_1612001834.jpg
Ensemble bébé,2 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2916017_uploaded_image1_1611789298.jpg
Habits enfants,2 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2916011_uploaded_image1_1611789145.jpg
Robe blanche,8 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2915994_uploaded_image1_1611788647.jpg
Robe,7 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2915976_uploaded_image1_1611787884.jpg
Robe enfants,7 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2915974_uploaded_image1_1611787755.jpg
Ensemble enfants,7 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2915972_uploaded_image1_1611787649.jpg
T-shirt - culotte enfant,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2915898_uploaded_image1_1611783664.jpg
Vêtement enfant,11 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2904676_uploaded_image1_1611249750.jpg
Couverture de bébé,5 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2902525_uploaded_image1_1611164467.jpg
Couches bébé,8 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2902480_uploaded_image1_1611162733.jpg
Robe,8 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2899086_uploaded_image1_1611042916.jpg
Ensemble enfant,12 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2890531_uploaded_image1_1610637477.jpg
Vêtements enfant,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2879939_uploaded_image1_1610202634.jpg
Vêtements enfant,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2875046_uploaded_image1_1610014895.jpg
Vêtements enfants,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2874400_uploaded_image1_1609975838.jpg
Vêtements enfants,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2874390_uploaded_image1_1609975626.jpg
Vêtements enfants,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2874378_uploaded_image1_1609975235.jpg
Vêtements enfants,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2874277_uploaded_image1_1609970984.jpg
Gilet enfants,6 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2848492_uploaded_image1_1608717915.jpg
Robes enfant pour fête,35 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2840073_uploaded_image1_1608317322.jpg
Ensembles filles,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2816377_uploaded_image1_1607381864.jpg
Robe fille,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2814488_uploaded_image1_1607335816.jpg
Tunique enfant,13 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2814185_uploaded_image1_1607327413.jpg
Tunique enfant,13 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2814182_uploaded_image1_1607327300.jpg
Habits enfants de 1 à 12 ans,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2812025_uploaded_image1_1607205971.jpg
Pantacourt jean,9 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2795243_uploaded_image1_1606662647.jpg
Habit de bébé,1 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2780041_uploaded_image1_1606065985.jpg
Polos enfant,5 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2773548_uploaded_image1_1605801106.jpg
T-shirt Polo,5 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2773471_uploaded_image1_1605799020.jpg
